feature,importance
canonical_similarity,0.09592852733686069
node_diff_AugAssign,0.049982490723562145
loc_sum,0.04591064466722361
node_diff_Assign,0.02948875661375662
ident_total_ratio,0.01318391330891331
node_hist_l1,0.012824074074074078
node_cosine,0.010615435490435485
node_hist_l2,0.007417277938111271
node_total_ratio,0.003474867724867726
loc_diff,0.0017800453514739242
