canonical_len_ratio,canonical_similarity,cc_avg_diff,cc_max_diff,common_imports,common_subtrees,exact_match,func_count_diff,func_count_ratio,ident_jaccard,import_count_diff,import_jaccard,loc_avg,loc_diff,loc_ratio,node_hist_cosine,node_hist_jaccard,subtree_count_diff,subtree_hash_jaccard,is_plagiarized,file1,file2
0.5551916148051097,0.6925021061499579,5.0,4.0,0.0,0.0,0.0,1.0,0.5,0.0,3.0,0.0,97.0,70.0,0.4696969696969697,0.9681448356162302,0.5348837209302325,4.0,0.0,0,code_orig_21.py,code_trans_21.py
0.6419213973799127,0.7021276595744681,8.5,8.0,0.0,0.0,0.0,1.0,0.5,0.041666666666666664,1.0,0.0,58.5,9.0,0.8571428571428571,0.9477020181972031,0.4186046511627907,0.0,0.0,0,code_orig_22.py,code_trans_22.py
1.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,0.0,1.0,1.0,1.0,0.0,1.0,1,code_orig_23.py,code_trans_23.py
0.9805153991200503,0.9831799428752777,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.3076923076923077,0.0,1.0,66.0,8.0,0.8857142857142857,1.0,1.0,0.0,0.09090909090909091,1,code_orig_24.py,code_trans_24.py
0.6296691568836713,0.7360838244924689,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,99.0,46.0,0.6229508196721312,0.8836778929016867,0.525,3.0,0.0,0,code_orig_25.py,code_trans_25.py
0.3091220347273172,0.4632916121800859,0.6666666666666667,1.0,2.0,0.0,0.0,5.0,0.16666666666666666,0.03333333333333333,1.0,0.6666666666666666,98.5,99.0,0.3310810810810811,0.9607697958388165,0.6944444444444444,8.0,0.0,0,code_orig_26.py,code_trans_26.py
0.5741877860890924,0.8388,0.2916666666666665,0.0,1.0,1.0,0.0,2.0,0.7142857142857143,0.1111111111111111,2.0,0.3333333333333333,260.5,159.0,0.5323529411764706,0.979302061545455,0.6037735849056604,3.0,0.025,0,code_orig_27.py,code_trans_27.py
0.5243690165361183,0.6554381958321439,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,6.0,0.0,82.5,59.0,0.4732142857142857,0.9678653179169661,0.5,4.0,0.0,0,code_orig_28.py,code_trans_28.py
0.5032928942807625,0.6451464145722849,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.14814814814814814,1.0,0.0,83.0,42.0,0.5961538461538461,0.9445292072621081,0.6486486486486487,5.0,0.0,1,code_orig_29.py,code_trans_29.py
1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,61.0,0.0,1.0,1.0,1.0,0.0,1.0,1,code_orig_30.py,code_trans_30.py
1.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,77.0,6.0,0.925,0.9999999999999999,1.0,0.0,1.0,1,code_orig_31.py,code_trans_31.py
0.8203067932797663,0.6356340288924559,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.12,2.0,0.3333333333333333,47.5,9.0,0.8269230769230769,0.9638374995443119,0.5526315789473685,2.0,0.0,1,code_orig_32.py,code_trans_32.py
0.3806282722513089,0.5354569586651498,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,2.0,0.0,49.5,19.0,0.6779661016949152,0.8563823711475178,0.59375,3.0,0.0,0,code_orig_33.py,code_trans_33.py
0.9967741935483871,0.9967741935483871,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,41.5,7.0,0.8444444444444444,1.0000000000000002,1.0,0.0,0.1111111111111111,1,code_orig_34.py,code_trans_34.py
